x,age,workclass,education,marital-status,relationship,race,gender,hours-per-week,income
52,18,Private,HS-grad,Never-married,Own-child,White,Female,30,<=50K
53,47,Private,Prof-school,Married-civ-spouse,Wife,White,Female,60,>50K
54,50,Federal-gov,Bachelors,Divorced,Not-in-family,White,Male,55,>50K
55,47,Self-emp-inc,HS-grad,Divorced,Not-in-family,White,Male,60,<=50K
56,43,Private,Some-college,Married-civ-spouse,Husband,White,Male,40,>50K
57,46,Private,5th-6th,Married-civ-spouse,Husband,White,Male,40,<=50K
58,35,Private,Assoc-voc,Married-civ-spouse,Husband,White,Male,40,<=50K
59,41,Private,HS-grad,Married-civ-spouse,Husband,White,Male,48,<=50K
60,30,Private,HS-grad,Married-civ-spouse,Husband,White,Male,40,<=50K
61,30,Private,Bachelors,Married-civ-spouse,Husband,White,Male,40,<=50K
62,32,?,7th-8th,Married-spouse-absent,Not-in-family,White,Male,40,<=50K
63,48,Private,HS-grad,Married-civ-spouse,Husband,White,Male,40,<=50K
64,42,Private,Doctorate,Married-civ-spouse,Husband,White,Male,45,>50K
65,29,Private,Some-college,Divorced,Not-in-family,White,Male,58,<=50K
66,36,Private,HS-grad,Married-civ-spouse,Husband,White,Male,40,<=50K
67,28,Private,Some-college,Divorced,Not-in-family,White,Female,40,<=50K
68,53,Private,HS-grad,Married-civ-spouse,Wife,White,Female,40,>50K
69,49,Self-emp-inc,Some-college,Married-civ-spouse,Husband,White,Male,50,>50K
70,25,?,Some-college,Never-married,Own-child,White,Male,40,<=50K
71,19,Private,Some-college,Never-married,Own-child,White,Male,32,<=50K
72,31,Private,Bachelors,Separated,Own-child,Black,Female,40,<=50K
73,29,Self-emp-not-inc,Bachelors,Married-civ-spouse,Husband,White,Male,70,>50K
74,23,Private,Some-college,Never-married,Not-in-family,White,Male,40,<=50K
75,79,Private,Some-college,Married-civ-spouse,Other-relative,White,Male,20,<=50K
76,27,Private,HS-grad,Never-married,Own-child,White,Male,40,<=50K
77,40,Private,Assoc-acdm,Married-civ-spouse,Husband,White,Male,40,<=50K
78,67,?,10th,Married-civ-spouse,Husband,White,Male,2,<=50K
79,18,Private,11th,Never-married,Own-child,White,Female,22,<=50K
80,31,Local-gov,7th-8th,Married-civ-spouse,Husband,White,Male,40,<=50K
81,18,Private,HS-grad,Never-married,Not-in-family,White,Male,30,<=50K
82,52,Private,Bachelors,Married-civ-spouse,Husband,White,Male,40,<=50K
83,46,Private,HS-grad,Married-civ-spouse,Wife,White,Female,40,<=50K
84,59,Private,HS-grad,Married-civ-spouse,Husband,White,Male,48,<=50K
85,44,Private,HS-grad,Divorced,Not-in-family,White,Female,40,>50K
86,53,Private,HS-grad,Divorced,Own-child,White,Female,35,<=50K
87,49,Local-gov,HS-grad,Married-civ-spouse,Husband,White,Male,40,>50K
88,33,Private,Masters,Married-civ-spouse,Husband,White,Male,50,<=50K
89,30,Private,9th,Never-married,Not-in-family,White,Male,40,<=50K
90,43,Federal-gov,Doctorate,Never-married,Not-in-family,White,Female,50,>50K
91,57,Private,Assoc-voc,Married-civ-spouse,Husband,White,Male,40,<=50K
92,37,Private,Some-college,Divorced,Unmarried,White,Female,40,<=50K
93,28,Private,Some-college,Divorced,Unmarried,Black,Female,25,<=50K
94,30,Private,HS-grad,Married-civ-spouse,Wife,Asian-Pac-Islander,Female,35,<=50K
95,34,Local-gov,Bachelors,Married-civ-spouse,Husband,White,Male,40,>50K
96,29,Local-gov,Some-college,Never-married,Not-in-family,White,Male,50,<=50K
97,48,Self-emp-not-inc,Doctorate,Married-civ-spouse,Husband,White,Male,60,>50K
98,37,Private,Some-college,Married-civ-spouse,Husband,White,Male,48,>50K
99,48,Private,Assoc-acdm,Divorced,Unmarried,White,Female,40,<=50K
100,32,Federal-gov,HS-grad,Never-married,Own-child,Black,Male,40,<=50K
101,76,Private,Masters,Married-civ-spouse,Husband,White,Male,40,>50K
102,44,Private,Bachelors,Married-civ-spouse,Husband,White,Male,60,>50K
103,47,Self-emp-not-inc,Masters,Never-married,Not-in-family,White,Female,50,<=50K
104,20,Private,Some-college,Never-married,Own-child,White,Female,40,<=50K
105,29,Private,HS-grad,Never-married,Not-in-family,White,Male,40,<=50K
106,32,Self-emp-inc,HS-grad,Married-civ-spouse,Husband,White,Male,40,>50K
107,17,?,10th,Never-married,Own-child,White,Female,32,<=50K
108,30,Private,11th,Never-married,Own-child,White,Male,40,<=50K
109,31,Local-gov,HS-grad,Never-married,Not-in-family,White,Female,40,<=50K
110,42,Private,HS-grad,Married-civ-spouse,Husband,White,Male,40,<=50K
111,24,Private,Bachelors,Never-married,Other-relative,White,Male,40,<=50K
112,38,Private,Prof-school,Married-civ-spouse,Husband,White,Male,40,>50K
113,56,Self-emp-not-inc,HS-grad,Married-civ-spouse,Husband,White,Male,50,>50K
114,28,Private,Some-college,Married-civ-spouse,Wife,White,Female,25,<=50K
115,36,Private,HS-grad,Never-married,Own-child,White,Female,40,<=50K
116,53,Private,9th,Married-civ-spouse,Husband,White,Male,50,<=50K
117,56,Self-emp-inc,Some-college,Married-civ-spouse,Husband,White,Male,50,<=50K
118,49,Local-gov,Assoc-voc,Married-civ-spouse,Husband,Black,Male,40,>50K
119,55,Private,Some-college,Married-civ-spouse,Husband,White,Male,56,<=50K
120,22,Private,HS-grad,Never-married,Not-in-family,White,Male,41,<=50K
121,21,Private,Some-college,Never-married,Own-child,White,Female,40,<=50K
122,40,Private,Bachelors,Married-civ-spouse,Husband,White,Male,60,<=50K
123,30,Private,Bachelors,Never-married,Own-child,Black,Male,40,<=50K
124,29,State-gov,Bachelors,Married-civ-spouse,Husband,White,Male,50,>50K
125,19,Private,Some-college,Never-married,Own-child,Black,Male,35,<=50K
126,47,Private,Bachelors,Married-civ-spouse,Wife,White,Female,40,>50K
127,20,Private,Some-college,Never-married,Own-child,White,Female,28,<=50K
128,31,Private,Assoc-acdm,Married-civ-spouse,Husband,White,Male,40,>50K
129,35,?,HS-grad,Married-civ-spouse,Husband,White,Male,40,<=50K
130,39,Private,Some-college,Divorced,Not-in-family,White,Male,40,<=50K
131,28,Private,Assoc-acdm,Never-married,Not-in-family,White,Female,60,<=50K
132,24,Private,HS-grad,Never-married,Not-in-family,White,Female,40,<=50K
133,38,Self-emp-not-inc,HS-grad,Married-civ-spouse,Husband,White,Male,35,<=50K
134,37,Private,Bachelors,Married-civ-spouse,Husband,White,Male,50,<=50K
135,46,Private,Assoc-acdm,Divorced,Not-in-family,Black,Female,36,<=50K
136,38,Federal-gov,Masters,Married-civ-spouse,Husband,White,Male,40,>50K
137,43,Self-emp-not-inc,HS-grad,Married-civ-spouse,Husband,White,Male,60,<=50K
138,27,Private,Assoc-voc,Married-civ-spouse,Wife,White,Female,35,<=50K
139,20,Private,Some-college,Never-married,Own-child,White,Male,20,<=50K
140,49,Private,Some-college,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,40,>50K
141,61,Self-emp-inc,HS-grad,Married-civ-spouse,Husband,White,Male,40,<=50K
142,27,Private,Some-college,Never-married,Own-child,White,Female,40,<=50K
143,19,Private,Some-college,Never-married,Own-child,White,Male,30,<=50K
144,45,Private,Assoc-voc,Never-married,Not-in-family,White,Female,40,>50K
145,70,Private,Some-college,Never-married,Other-relative,White,Male,40,<=50K
146,31,Private,HS-grad,Never-married,Unmarried,Black,Female,30,<=50K
147,22,Private,Some-college,Married-civ-spouse,Husband,White,Male,24,<=50K
148,36,Private,HS-grad,Widowed,Unmarried,White,Female,24,<=50K
149,64,Private,11th,Married-civ-spouse,Husband,White,Male,40,<=50K
150,43,?,Some-college,Divorced,Not-in-family,White,Female,40,<=50K
151,47,Local-gov,Some-college,Divorced,Unmarried,White,Female,38,<=50K
152,34,Private,HS-grad,Never-married,Not-in-family,White,Female,40,<=50K
153,33,Private,Bachelors,Never-married,Other-relative,Asian-Pac-Islander,Female,40,<=50K
154,21,Private,HS-grad,Never-married,Own-child,White,Male,35,<=50K
155,52,?,HS-grad,Divorced,Not-in-family,White,Male,45,>50K
156,48,Private,HS-grad,Married-civ-spouse,Husband,White,Male,46,<=50K
157,23,Private,Bachelors,Never-married,Not-in-family,White,Male,40,<=50K
158,71,Self-emp-not-inc,Some-college,Separated,Unmarried,Black,Male,2,<=50K
159,29,Private,HS-grad,Divorced,Not-in-family,White,Male,60,<=50K
160,42,Private,Bachelors,Separated,Other-relative,Black,Male,50,<=50K
161,68,?,1st-4th,Divorced,Not-in-family,White,Female,20,<=50K
162,25,Private,HS-grad,Never-married,Unmarried,White,Female,40,<=50K
163,44,Self-emp-inc,Masters,Divorced,Unmarried,Asian-Pac-Islander,Female,40,<=50K
164,28,Private,HS-grad,Never-married,Not-in-family,Asian-Pac-Islander,Female,40,<=50K
165,45,Self-emp-not-inc,Masters,Married-civ-spouse,Husband,White,Male,40,>50K
166,36,Private,Some-college,Divorced,Unmarried,White,Female,40,<=50K
167,39,Federal-gov,Assoc-acdm,Never-married,Not-in-family,White,Male,42,<=50K
168,46,State-gov,Masters,Widowed,Unmarried,White,Male,40,<=50K
169,18,Private,11th,Never-married,Own-child,White,Male,16,<=50K
170,66,Local-gov,Assoc-voc,Widowed,Not-in-family,White,Female,20,<=50K
171,27,Private,HS-grad,Never-married,Not-in-family,White,Male,40,<=50K
172,28,State-gov,HS-grad,Married-civ-spouse,Husband,White,Male,40,<=50K
173,51,Private,Some-college,Married-civ-spouse,Husband,White,Male,40,>50K
174,27,Private,Bachelors,Never-married,Not-in-family,White,Male,50,<=50K
175,28,State-gov,Bachelors,Married-civ-spouse,Husband,White,Male,40,>50K
176,27,Private,HS-grad,Married-spouse-absent,Unmarried,White,Female,25,<=50K
177,21,Private,HS-grad,Never-married,Own-child,Black,Male,40,<=50K
178,34,Private,HS-grad,Never-married,Not-in-family,Black,Male,40,<=50K
179,18,Private,HS-grad,Never-married,Own-child,White,Male,12,<=50K
180,33,Private,Bachelors,Married-civ-spouse,Husband,White,Male,65,<=50K
181,44,Local-gov,Some-college,Married-civ-spouse,Husband,Black,Male,38,>50K
182,43,Private,Some-college,Divorced,Not-in-family,White,Female,40,<=50K
183,30,Private,Some-college,Never-married,Not-in-family,Black,Male,45,<=50K
184,40,Private,7th-8th,Married-civ-spouse,Husband,White,Male,40,>50K
185,37,Federal-gov,Some-college,Married-civ-spouse,Husband,White,Male,42,>50K
186,34,Private,HS-grad,Married-civ-spouse,Husband,Black,Male,40,<=50K
187,41,Self-emp-not-inc,Bachelors,Divorced,Not-in-family,White,Female,40,<=50K
188,53,?,Bachelors,Divorced,Not-in-family,White,Female,50,<=50K
189,31,Private,Masters,Married-civ-spouse,Wife,White,Female,50,<=50K
190,58,State-gov,Doctorate,Married-civ-spouse,Husband,White,Male,1,>50K
191,38,Private,Some-college,Divorced,Not-in-family,Black,Female,28,<=50K
192,24,Private,Some-college,Married-civ-spouse,Husband,White,Male,40,<=50K
193,41,Local-gov,Bachelors,Married-civ-spouse,Husband,Black,Male,40,<=50K
194,47,Private,Some-college,Married-civ-spouse,Husband,White,Male,45,<=50K
195,41,Federal-gov,Bachelors,Married-civ-spouse,Husband,White,Male,24,<=50K
196,23,Private,5th-6th,Married-civ-spouse,Other-relative,White,Male,40,<=50K
197,36,Private,Some-college,Divorced,Not-in-family,White,Male,40,<=50K
198,40,Federal-gov,Masters,Never-married,Not-in-family,White,Female,55,>50K
199,35,Private,Masters,Married-civ-spouse,Other-relative,White,Male,40,>50K
200,24,Self-emp-not-inc,HS-grad,Never-married,Not-in-family,White,Male,40,<=50K
201,26,Private,Masters,Never-married,Not-in-family,White,Female,40,<=50K
202,19,?,HS-grad,Never-married,Own-child,White,Male,40,<=50K
203,51,Private,Bachelors,Married-civ-spouse,Husband,White,Male,50,>50K
204,42,Local-gov,Some-college,Never-married,Not-in-family,White,Female,40,<=50K
205,37,State-gov,HS-grad,Divorced,Unmarried,White,Female,35,<=50K
206,18,Private,11th,Never-married,Own-child,White,Female,40,<=50K
207,36,Private,Bachelors,Married-civ-spouse,Husband,Black,Male,36,>50K
208,35,Private,HS-grad,Divorced,Not-in-family,White,Male,60,<=50K
209,58,Self-emp-inc,HS-grad,Married-civ-spouse,Wife,White,Female,35,>50K
210,17,Private,11th,Never-married,Own-child,White,Female,12,<=50K
211,44,Local-gov,HS-grad,Married-civ-spouse,Husband,Black,Male,40,<=50K
212,37,Private,HS-grad,Married-civ-spouse,Husband,White,Male,40,>50K
213,35,Private,Some-college,Never-married,Not-in-family,Amer-Indian-Eskimo,Female,40,<=50K
214,60,Private,HS-grad,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,40,<=50K
215,54,Self-emp-inc,7th-8th,Married-civ-spouse,Husband,White,Male,40,>50K
216,37,Private,Bachelors,Never-married,Not-in-family,Black,Male,60,>50K
217,50,Private,Assoc-acdm,Divorced,Not-in-family,White,Female,40,<=50K
218,38,Private,Bachelors,Married-civ-spouse,Husband,White,Male,50,<=50K
219,45,Private,Bachelors,Married-civ-spouse,Husband,White,Male,55,<=50K
220,25,Private,10th,Never-married,Not-in-family,White,Male,40,<=50K
221,31,Private,Some-college,Married-civ-spouse,Husband,White,Male,40,<=50K
222,64,?,1st-4th,Divorced,Not-in-family,White,Male,40,<=50K
223,90,Private,HS-grad,Never-married,Not-in-family,Black,Male,40,<=50K
224,54,Private,HS-grad,Married-civ-spouse,Husband,Black,Male,20,<=50K
225,53,Local-gov,Preschool,Never-married,Not-in-family,White,Female,35,<=50K
226,18,Private,HS-grad,Never-married,Own-child,White,Female,40,<=50K
227,60,?,10th,Divorced,Not-in-family,Amer-Indian-Eskimo,Female,10,<=50K
228,66,Self-emp-not-inc,HS-grad,Married-civ-spouse,Husband,White,Male,50,<=50K
229,75,Private,Assoc-voc,Widowed,Not-in-family,White,Female,20,<=50K
230,65,Private,HS-grad,Divorced,Not-in-family,White,Female,40,<=50K
231,35,Private,11th,Separated,Not-in-family,Black,Male,40,<=50K
232,41,Private,HS-grad,Divorced,Unmarried,Black,Female,38,<=50K
233,25,Private,Some-college,Never-married,Not-in-family,White,Male,42,<=50K
234,33,Private,Some-college,Divorced,Other-relative,Other,Female,40,<=50K
235,28,Private,Prof-school,Never-married,Not-in-family,White,Male,55,>50K
236,59,State-gov,HS-grad,Married-civ-spouse,Husband,White,Male,40,<=50K
237,40,State-gov,Some-college,Never-married,Not-in-family,White,Female,38,<=50K
238,41,Private,Bachelors,Married-civ-spouse,Husband,White,Male,50,>50K
239,38,Local-gov,Masters,Married-civ-spouse,Husband,White,Male,70,>50K
240,23,Private,HS-grad,Never-married,Own-child,White,Male,40,<=50K
241,40,Private,Bachelors,Married-civ-spouse,Husband,White,Male,40,>50K
242,41,Self-emp-not-inc,HS-grad,Married-civ-spouse,Wife,White,Female,20,<=50K
243,24,State-gov,Assoc-acdm,Married-civ-spouse,Husband,White,Male,50,<=50K
244,20,?,Some-college,Never-married,Own-child,White,Male,20,<=50K
245,38,Private,Some-college,Divorced,Not-in-family,White,Male,40,<=50K
246,56,Private,HS-grad,Married-civ-spouse,Husband,White,Male,35,<=50K
247,58,Private,HS-grad,Married-civ-spouse,Husband,White,Male,45,>50K
248,32,Private,HS-grad,Never-married,Not-in-family,White,Female,34,<=50K
249,40,Private,Assoc-acdm,Married-civ-spouse,Husband,White,Male,60,>50K
250,45,Private,HS-grad,Married-civ-spouse,Husband,White,Male,40,<=50K
251,41,Private,Prof-school,Married-civ-spouse,Wife,White,Female,40,>50K
252,42,Private,Bachelors,Married-civ-spouse,Wife,Black,Female,40,<=50K
253,59,Local-gov,10th,Widowed,Unmarried,Black,Female,30,<=50K
254,19,Local-gov,Some-college,Never-married,Own-child,White,Male,40,<=50K
255,58,Private,Some-college,Never-married,Not-in-family,White,Male,20,<=50K
256,42,Self-emp-not-inc,HS-grad,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,40,>50K
257,20,Private,HS-grad,Never-married,Own-child,White,Female,40,<=50K
258,32,Private,HS-grad,Separated,Not-in-family,White,Female,30,<=50K
259,45,Private,Assoc-voc,Widowed,Not-in-family,White,Female,45,<=50K
260,50,Private,7th-8th,Divorced,Not-in-family,White,Male,40,<=50K
261,36,Private,Bachelors,Divorced,Own-child,White,Female,40,<=50K
262,45,Private,HS-grad,Married-civ-spouse,Husband,White,Male,60,<=50K
263,17,Private,11th,Never-married,Own-child,White,Male,12,<=50K
264,59,Private,Some-college,Married-civ-spouse,Husband,White,Male,40,<=50K
265,26,Private,11th,Married-civ-spouse,Husband,White,Male,40,<=50K
266,37,Self-emp-inc,Some-college,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,75,>50K
267,19,?,Some-college,Never-married,Own-child,White,Male,24,<=50K
268,64,Private,HS-grad,Married-civ-spouse,Husband,White,Male,40,>50K
269,33,Private,Bachelors,Never-married,Not-in-family,White,Female,45,<=50K
270,33,Private,HS-grad,Married-civ-spouse,Wife,White,Female,40,>50K
271,61,Private,HS-grad,Married-civ-spouse,Husband,White,Male,40,>50K
272,17,Private,9th,Never-married,Own-child,White,Male,24,<=50K
273,50,Self-emp-not-inc,Masters,Married-civ-spouse,Husband,White,Male,98,<=50K
274,27,Local-gov,Masters,Never-married,Own-child,White,Male,35,<=50K
275,30,Private,HS-grad,Divorced,Own-child,White,Female,40,<=50K
276,43,Private,HS-grad,Married-civ-spouse,Husband,Black,Male,40,<=50K
277,44,Private,Some-college,Married-civ-spouse,Husband,White,Male,40,>50K
278,35,Private,Some-college,Never-married,Not-in-family,White,Female,40,<=50K
279,25,Private,Some-college,Never-married,Own-child,White,Female,40,<=50K
280,24,Private,Some-college,Married-civ-spouse,Wife,White,Female,48,>50K
281,22,Private,Bachelors,Never-married,Not-in-family,White,Female,15,<=50K
282,42,Local-gov,Some-college,Married-civ-spouse,Husband,White,Male,40,>50K
283,34,Private,Assoc-acdm,Divorced,Unmarried,Black,Female,45,<=50K
284,60,Private,Bachelors,Divorced,Not-in-family,White,Female,42,<=50K
285,21,Private,HS-grad,Never-married,Own-child,White,Male,40,<=50K
286,57,Federal-gov,Masters,Married-civ-spouse,Husband,White,Male,40,>50K
287,41,Private,Prof-school,Married-civ-spouse,Husband,White,Male,60,>50K
288,50,Private,Some-college,Divorced,Not-in-family,White,Male,45,<=50K
289,25,Private,Bachelors,Never-married,Not-in-family,White,Female,40,<=50K
290,50,Private,7th-8th,Married-civ-spouse,Husband,White,Male,40,<=50K
291,36,Private,Bachelors,Married-civ-spouse,Husband,White,Male,45,<=50K
292,31,Private,HS-grad,Divorced,Not-in-family,White,Female,40,<=50K
293,29,Local-gov,Bachelors,Never-married,Not-in-family,White,Male,56,<=50K
294,21,Private,Some-college,Never-married,Own-child,White,Male,45,<=50K
295,27,Private,Bachelors,Never-married,Unmarried,Black,Female,40,<=50K
296,65,Private,HS-grad,Married-civ-spouse,Husband,White,Male,16,<=50K
297,37,Self-emp-inc,Bachelors,Divorced,Not-in-family,White,Female,60,<=50K
298,39,?,Masters,Married-civ-spouse,Wife,Asian-Pac-Islander,Female,40,<=50K
299,24,Private,HS-grad,Never-married,Own-child,White,Male,40,<=50K
300,38,Private,HS-grad,Divorced,Not-in-family,White,Male,80,<=50K
301,48,Private,Bachelors,Married-civ-spouse,Husband,White,Male,40,>50K
302,21,Private,Some-college,Never-married,Not-in-family,Asian-Pac-Islander,Female,25,<=50K
303,31,Private,HS-grad,Married-civ-spouse,Husband,White,Male,45,>50K
304,55,Private,HS-grad,Married-civ-spouse,Husband,White,Male,40,>50K
305,24,Private,Some-college,Married-civ-spouse,Wife,Asian-Pac-Islander,Female,40,<=50K
306,43,Private,HS-grad,Divorced,Not-in-family,White,Female,40,<=50K
307,26,Private,Assoc-acdm,Never-married,Not-in-family,White,Male,45,<=50K
308,46,Private,Assoc-acdm,Never-married,Not-in-family,White,Female,33,<=50K
309,35,Private,Assoc-acdm,Married-civ-spouse,Husband,White,Male,40,>50K
310,41,Self-emp-inc,Some-college,Married-civ-spouse,Husband,White,Male,54,>50K
311,26,Private,Bachelors,Never-married,Not-in-family,White,Male,40,<=50K
312,34,Private,Masters,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,35,>50K
313,19,?,Some-college,Never-married,Own-child,Black,Female,25,<=50K
314,36,Self-emp-not-inc,Bachelors,Divorced,Not-in-family,Black,Female,40,>50K
315,22,Private,Some-college,Never-married,Own-child,White,Male,15,<=50K
316,24,Private,Some-college,Never-married,Not-in-family,White,Male,40,<=50K
317,77,Self-emp-not-inc,Some-college,Married-civ-spouse,Husband,White,Male,40,<=50K
318,22,Private,5th-6th,Married-civ-spouse,Other-relative,White,Female,40,<=50K
319,29,Private,Some-college,Never-married,Not-in-family,White,Female,40,<=50K
320,62,Private,HS-grad,Widowed,Not-in-family,White,Female,24,<=50K
321,39,Self-emp-not-inc,HS-grad,Married-civ-spouse,Husband,White,Male,40,<=50K
322,43,Private,Some-college,Married-civ-spouse,Husband,White,Male,50,<=50K
323,35,Private,HS-grad,Divorced,Not-in-family,White,Male,45,<=50K
324,29,Private,11th,Never-married,Not-in-family,White,Female,40,<=50K
325,76,Self-emp-not-inc,Masters,Married-civ-spouse,Husband,White,Male,10,<=50K
326,63,Self-emp-not-inc,HS-grad,Married-civ-spouse,Husband,White,Male,45,<=50K
327,23,?,Assoc-voc,Never-married,Own-child,Black,Female,15,<=50K
328,43,Private,Some-college,Married-civ-spouse,Wife,White,Female,50,>50K
329,58,Self-emp-not-inc,HS-grad,Married-civ-spouse,Husband,White,Male,40,<=50K
330,66,Private,HS-grad,Never-married,Not-in-family,White,Male,55,<=50K
331,41,Private,Some-college,Never-married,Not-in-family,Black,Male,45,<=50K
332,26,Private,Bachelors,Never-married,Not-in-family,White,Male,40,<=50K
333,47,Private,Assoc-voc,Never-married,Not-in-family,White,Male,40,<=50K
334,55,Local-gov,10th,Married-civ-spouse,Husband,White,Male,40,<=50K
335,53,Private,HS-grad,Married-civ-spouse,Husband,White,Male,40,<=50K
336,17,Private,5th-6th,Never-married,Other-relative,White,Male,48,<=50K
337,30,Private,HS-grad,Never-married,Other-relative,White,Male,40,<=50K
338,49,Private,Masters,Never-married,Not-in-family,White,Male,60,<=50K
339,19,Private,HS-grad,Never-married,Unmarried,Black,Male,30,<=50K
340,45,Private,HS-grad,Married-civ-spouse,Husband,Black,Male,40,<=50K
341,26,Private,Assoc-acdm,Never-married,Not-in-family,White,Male,40,<=50K
342,38,Private,Assoc-voc,Married-civ-spouse,Husband,White,Male,40,>50K
343,36,State-gov,HS-grad,Married-civ-spouse,Husband,White,Male,40,>50K
344,33,Private,HS-grad,Never-married,Not-in-family,White,Male,20,<=50K
345,22,State-gov,Some-college,Never-married,Own-child,Black,Female,40,<=50K
346,43,Self-emp-not-inc,Bachelors,Never-married,Not-in-family,White,Male,42,<=50K
347,67,?,11th,Married-civ-spouse,Husband,White,Male,8,<=50K
348,30,?,Assoc-voc,Divorced,Unmarried,White,Female,40,<=50K
349,56,Private,Assoc-acdm,Married-spouse-absent,Not-in-family,White,Male,25,<=50K
350,31,Private,Bachelors,Never-married,Own-child,White,Male,25,<=50K
351,33,Private,Bachelors,Married-civ-spouse,Husband,White,Male,40,>50K
352,26,Private,HS-grad,Married-civ-spouse,Husband,White,Male,40,<=50K
353,33,Private,Bachelors,Married-civ-spouse,Husband,White,Male,40,>50K
354,46,Local-gov,11th,Married-civ-spouse,Husband,White,Male,30,<=50K
355,59,?,Bachelors,Married-civ-spouse,Husband,White,Male,40,>50K
356,38,Federal-gov,HS-grad,Married-civ-spouse,Husband,White,Male,40,>50K
357,65,Private,11th,Widowed,Unmarried,Other,Male,40,<=50K
358,40,Private,Assoc-voc,Married-civ-spouse,Husband,White,Male,40,>50K
