age,workclass,education,marital-status,relationship,race,gender,hours-per-week,income
53,Self-emp-not-inc,Bachelors,Married-civ-spouse,Husband,White,Male,40,<=50K
24,Private,Bachelors,Married-civ-spouse,Husband,White,Male,50,<=50K
49,Private,HS-grad,Separated,Unmarried,White,Female,40,<=50K
25,Private,HS-grad,Never-married,Not-in-family,White,Male,35,<=50K
57,Federal-gov,Bachelors,Married-civ-spouse,Husband,Black,Male,40,>50K
53,Private,HS-grad,Married-civ-spouse,Husband,White,Male,38,<=50K
44,Private,Masters,Divorced,Unmarried,White,Female,40,<=50K
41,State-gov,Assoc-voc,Married-civ-spouse,Husband,White,Male,40,<=50K
29,Private,Assoc-voc,Never-married,Not-in-family,White,Male,43,<=50K
25,Private,Some-college,Married-civ-spouse,Wife,Other,Female,40,<=50K
18,Private,HS-grad,Never-married,Own-child,White,Female,30,<=50K
47,Private,Prof-school,Married-civ-spouse,Wife,White,Female,60,>50K
50,Federal-gov,Bachelors,Divorced,Not-in-family,White,Male,55,>50K
47,Self-emp-inc,HS-grad,Divorced,Not-in-family,White,Male,60,<=50K
43,Private,Some-college,Married-civ-spouse,Husband,White,Male,40,>50K
46,Private,5th-6th,Married-civ-spouse,Husband,White,Male,40,<=50K
35,Private,Assoc-voc,Married-civ-spouse,Husband,White,Male,40,<=50K
41,Private,HS-grad,Married-civ-spouse,Husband,White,Male,48,<=50K
30,Private,HS-grad,Married-civ-spouse,Husband,White,Male,40,<=50K
30,Private,Bachelors,Married-civ-spouse,Husband,White,Male,40,<=50K
48,Private,HS-grad,Married-civ-spouse,Husband,White,Male,40,<=50K
42,Private,Doctorate,Married-civ-spouse,Husband,White,Male,45,>50K
29,Private,Some-college,Divorced,Not-in-family,White,Male,58,<=50K
36,Private,HS-grad,Married-civ-spouse,Husband,White,Male,40,<=50K
28,Private,Some-college,Divorced,Not-in-family,White,Female,40,<=50K
53,Private,HS-grad,Married-civ-spouse,Wife,White,Female,40,>50K
49,Self-emp-inc,Some-college,Married-civ-spouse,Husband,White,Male,50,>50K
19,Private,Some-college,Never-married,Own-child,White,Male,32,<=50K
31,Private,Bachelors,Separated,Own-child,Black,Female,40,<=50K
29,Self-emp-not-inc,Bachelors,Married-civ-spouse,Husband,White,Male,70,>50K
23,Private,Some-college,Never-married,Not-in-family,White,Male,40,<=50K
79,Private,Some-college,Married-civ-spouse,Other-relative,White,Male,20,<=50K
27,Private,HS-grad,Never-married,Own-child,White,Male,40,<=50K
40,Private,Assoc-acdm,Married-civ-spouse,Husband,White,Male,40,<=50K
18,Private,11th,Never-married,Own-child,White,Female,22,<=50K
31,Local-gov,7th-8th,Married-civ-spouse,Husband,White,Male,40,<=50K
18,Private,HS-grad,Never-married,Not-in-family,White,Male,30,<=50K
52,Private,Bachelors,Married-civ-spouse,Husband,White,Male,40,<=50K
46,Private,HS-grad,Married-civ-spouse,Wife,White,Female,40,<=50K
59,Private,HS-grad,Married-civ-spouse,Husband,White,Male,48,<=50K
44,Private,HS-grad,Divorced,Not-in-family,White,Female,40,>50K
53,Private,HS-grad,Divorced,Own-child,White,Female,35,<=50K
49,Local-gov,HS-grad,Married-civ-spouse,Husband,White,Male,40,>50K
33,Private,Masters,Married-civ-spouse,Husband,White,Male,50,<=50K
30,Private,9th,Never-married,Not-in-family,White,Male,40,<=50K
43,Federal-gov,Doctorate,Never-married,Not-in-family,White,Female,50,>50K
57,Private,Assoc-voc,Married-civ-spouse,Husband,White,Male,40,<=50K
37,Private,Some-college,Divorced,Unmarried,White,Female,40,<=50K
28,Private,Some-college,Divorced,Unmarried,Black,Female,25,<=50K
30,Private,HS-grad,Married-civ-spouse,Wife,Asian-Pac-Islander,Female,35,<=50K
34,Local-gov,Bachelors,Married-civ-spouse,Husband,White,Male,40,>50K
29,Local-gov,Some-college,Never-married,Not-in-family,White,Male,50,<=50K
48,Self-emp-not-inc,Doctorate,Married-civ-spouse,Husband,White,Male,60,>50K
37,Private,Some-college,Married-civ-spouse,Husband,White,Male,48,>50K
48,Private,Assoc-acdm,Divorced,Unmarried,White,Female,40,<=50K
32,Federal-gov,HS-grad,Never-married,Own-child,Black,Male,40,<=50K
76,Private,Masters,Married-civ-spouse,Husband,White,Male,40,>50K
44,Private,Bachelors,Married-civ-spouse,Husband,White,Male,60,>50K
47,Self-emp-not-inc,Masters,Never-married,Not-in-family,White,Female,50,<=50K
20,Private,Some-college,Never-married,Own-child,White,Female,40,<=50K
29,Private,HS-grad,Never-married,Not-in-family,White,Male,40,<=50K
32,Self-emp-inc,HS-grad,Married-civ-spouse,Husband,White,Male,40,>50K
30,Private,11th,Never-married,Own-child,White,Male,40,<=50K
31,Local-gov,HS-grad,Never-married,Not-in-family,White,Female,40,<=50K
42,Private,HS-grad,Married-civ-spouse,Husband,White,Male,40,<=50K
24,Private,Bachelors,Never-married,Other-relative,White,Male,40,<=50K
38,Private,Prof-school,Married-civ-spouse,Husband,White,Male,40,>50K
56,Self-emp-not-inc,HS-grad,Married-civ-spouse,Husband,White,Male,50,>50K
28,Private,Some-college,Married-civ-spouse,Wife,White,Female,25,<=50K
36,Private,HS-grad,Never-married,Own-child,White,Female,40,<=50K
53,Private,9th,Married-civ-spouse,Husband,White,Male,50,<=50K
56,Self-emp-inc,Some-college,Married-civ-spouse,Husband,White,Male,50,<=50K
49,Local-gov,Assoc-voc,Married-civ-spouse,Husband,Black,Male,40,>50K
55,Private,Some-college,Married-civ-spouse,Husband,White,Male,56,<=50K
22,Private,HS-grad,Never-married,Not-in-family,White,Male,41,<=50K
21,Private,Some-college,Never-married,Own-child,White,Female,40,<=50K
40,Private,Bachelors,Married-civ-spouse,Husband,White,Male,60,<=50K
30,Private,Bachelors,Never-married,Own-child,Black,Male,40,<=50K
29,State-gov,Bachelors,Married-civ-spouse,Husband,White,Male,50,>50K
19,Private,Some-college,Never-married,Own-child,Black,Male,35,<=50K
47,Private,Bachelors,Married-civ-spouse,Wife,White,Female,40,>50K
20,Private,Some-college,Never-married,Own-child,White,Female,28,<=50K
31,Private,Assoc-acdm,Married-civ-spouse,Husband,White,Male,40,>50K
39,Private,Some-college,Divorced,Not-in-family,White,Male,40,<=50K
28,Private,Assoc-acdm,Never-married,Not-in-family,White,Female,60,<=50K
24,Private,HS-grad,Never-married,Not-in-family,White,Female,40,<=50K
38,Self-emp-not-inc,HS-grad,Married-civ-spouse,Husband,White,Male,35,<=50K
37,Private,Bachelors,Married-civ-spouse,Husband,White,Male,50,<=50K
46,Private,Assoc-acdm,Divorced,Not-in-family,Black,Female,36,<=50K
38,Federal-gov,Masters,Married-civ-spouse,Husband,White,Male,40,>50K
43,Self-emp-not-inc,HS-grad,Married-civ-spouse,Husband,White,Male,60,<=50K
27,Private,Assoc-voc,Married-civ-spouse,Wife,White,Female,35,<=50K
20,Private,Some-college,Never-married,Own-child,White,Male,20,<=50K
49,Private,Some-college,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,40,>50K
61,Self-emp-inc,HS-grad,Married-civ-spouse,Husband,White,Male,40,<=50K
27,Private,Some-college,Never-married,Own-child,White,Female,40,<=50K
19,Private,Some-college,Never-married,Own-child,White,Male,30,<=50K
45,Private,Assoc-voc,Never-married,Not-in-family,White,Female,40,>50K
70,Private,Some-college,Never-married,Other-relative,White,Male,40,<=50K
31,Private,HS-grad,Never-married,Unmarried,Black,Female,30,<=50K
22,Private,Some-college,Married-civ-spouse,Husband,White,Male,24,<=50K
36,Private,HS-grad,Widowed,Unmarried,White,Female,24,<=50K
64,Private,11th,Married-civ-spouse,Husband,White,Male,40,<=50K
47,Local-gov,Some-college,Divorced,Unmarried,White,Female,38,<=50K
34,Private,HS-grad,Never-married,Not-in-family,White,Female,40,<=50K
33,Private,Bachelors,Never-married,Other-relative,Asian-Pac-Islander,Female,40,<=50K
21,Private,HS-grad,Never-married,Own-child,White,Male,35,<=50K
48,Private,HS-grad,Married-civ-spouse,Husband,White,Male,46,<=50K
23,Private,Bachelors,Never-married,Not-in-family,White,Male,40,<=50K
71,Self-emp-not-inc,Some-college,Separated,Unmarried,Black,Male,2,<=50K
29,Private,HS-grad,Divorced,Not-in-family,White,Male,60,<=50K
42,Private,Bachelors,Separated,Other-relative,Black,Male,50,<=50K
25,Private,HS-grad,Never-married,Unmarried,White,Female,40,<=50K
44,Self-emp-inc,Masters,Divorced,Unmarried,Asian-Pac-Islander,Female,40,<=50K
28,Private,HS-grad,Never-married,Not-in-family,Asian-Pac-Islander,Female,40,<=50K
45,Self-emp-not-inc,Masters,Married-civ-spouse,Husband,White,Male,40,>50K
36,Private,Some-college,Divorced,Unmarried,White,Female,40,<=50K
39,Federal-gov,Assoc-acdm,Never-married,Not-in-family,White,Male,42,<=50K
46,State-gov,Masters,Widowed,Unmarried,White,Male,40,<=50K
18,Private,11th,Never-married,Own-child,White,Male,16,<=50K
66,Local-gov,Assoc-voc,Widowed,Not-in-family,White,Female,20,<=50K
27,Private,HS-grad,Never-married,Not-in-family,White,Male,40,<=50K
28,State-gov,HS-grad,Married-civ-spouse,Husband,White,Male,40,<=50K
51,Private,Some-college,Married-civ-spouse,Husband,White,Male,40,>50K
27,Private,Bachelors,Never-married,Not-in-family,White,Male,50,<=50K
28,State-gov,Bachelors,Married-civ-spouse,Husband,White,Male,40,>50K
27,Private,HS-grad,Married-spouse-absent,Unmarried,White,Female,25,<=50K
21,Private,HS-grad,Never-married,Own-child,Black,Male,40,<=50K
34,Private,HS-grad,Never-married,Not-in-family,Black,Male,40,<=50K
18,Private,HS-grad,Never-married,Own-child,White,Male,12,<=50K
33,Private,Bachelors,Married-civ-spouse,Husband,White,Male,65,<=50K
44,Local-gov,Some-college,Married-civ-spouse,Husband,Black,Male,38,>50K
43,Private,Some-college,Divorced,Not-in-family,White,Female,40,<=50K
30,Private,Some-college,Never-married,Not-in-family,Black,Male,45,<=50K
40,Private,7th-8th,Married-civ-spouse,Husband,White,Male,40,>50K
37,Federal-gov,Some-college,Married-civ-spouse,Husband,White,Male,42,>50K
34,Private,HS-grad,Married-civ-spouse,Husband,Black,Male,40,<=50K
41,Self-emp-not-inc,Bachelors,Divorced,Not-in-family,White,Female,40,<=50K
31,Private,Masters,Married-civ-spouse,Wife,White,Female,50,<=50K
58,State-gov,Doctorate,Married-civ-spouse,Husband,White,Male,1,>50K
38,Private,Some-college,Divorced,Not-in-family,Black,Female,28,<=50K
24,Private,Some-college,Married-civ-spouse,Husband,White,Male,40,<=50K
41,Local-gov,Bachelors,Married-civ-spouse,Husband,Black,Male,40,<=50K
47,Private,Some-college,Married-civ-spouse,Husband,White,Male,45,<=50K
41,Federal-gov,Bachelors,Married-civ-spouse,Husband,White,Male,24,<=50K
23,Private,5th-6th,Married-civ-spouse,Other-relative,White,Male,40,<=50K
36,Private,Some-college,Divorced,Not-in-family,White,Male,40,<=50K
40,Federal-gov,Masters,Never-married,Not-in-family,White,Female,55,>50K
35,Private,Masters,Married-civ-spouse,Other-relative,White,Male,40,>50K
24,Self-emp-not-inc,HS-grad,Never-married,Not-in-family,White,Male,40,<=50K
26,Private,Masters,Never-married,Not-in-family,White,Female,40,<=50K
51,Private,Bachelors,Married-civ-spouse,Husband,White,Male,50,>50K
42,Local-gov,Some-college,Never-married,Not-in-family,White,Female,40,<=50K
37,State-gov,HS-grad,Divorced,Unmarried,White,Female,35,<=50K
18,Private,11th,Never-married,Own-child,White,Female,40,<=50K
36,Private,Bachelors,Married-civ-spouse,Husband,Black,Male,36,>50K
35,Private,HS-grad,Divorced,Not-in-family,White,Male,60,<=50K
58,Self-emp-inc,HS-grad,Married-civ-spouse,Wife,White,Female,35,>50K
17,Private,11th,Never-married,Own-child,White,Female,12,<=50K
44,Local-gov,HS-grad,Married-civ-spouse,Husband,Black,Male,40,<=50K
37,Private,HS-grad,Married-civ-spouse,Husband,White,Male,40,>50K
35,Private,Some-college,Never-married,Not-in-family,Amer-Indian-Eskimo,Female,40,<=50K
60,Private,HS-grad,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,40,<=50K
54,Self-emp-inc,7th-8th,Married-civ-spouse,Husband,White,Male,40,>50K
37,Private,Bachelors,Never-married,Not-in-family,Black,Male,60,>50K
50,Private,Assoc-acdm,Divorced,Not-in-family,White,Female,40,<=50K
38,Private,Bachelors,Married-civ-spouse,Husband,White,Male,50,<=50K
45,Private,Bachelors,Married-civ-spouse,Husband,White,Male,55,<=50K
25,Private,10th,Never-married,Not-in-family,White,Male,40,<=50K
31,Private,Some-college,Married-civ-spouse,Husband,White,Male,40,<=50K
90,Private,HS-grad,Never-married,Not-in-family,Black,Male,40,<=50K
54,Private,HS-grad,Married-civ-spouse,Husband,Black,Male,20,<=50K
53,Local-gov,Preschool,Never-married,Not-in-family,White,Female,35,<=50K
18,Private,HS-grad,Never-married,Own-child,White,Female,40,<=50K
66,Self-emp-not-inc,HS-grad,Married-civ-spouse,Husband,White,Male,50,<=50K
75,Private,Assoc-voc,Widowed,Not-in-family,White,Female,20,<=50K
65,Private,HS-grad,Divorced,Not-in-family,White,Female,40,<=50K
35,Private,11th,Separated,Not-in-family,Black,Male,40,<=50K
41,Private,HS-grad,Divorced,Unmarried,Black,Female,38,<=50K
25,Private,Some-college,Never-married,Not-in-family,White,Male,42,<=50K
33,Private,Some-college,Divorced,Other-relative,Other,Female,40,<=50K
28,Private,Prof-school,Never-married,Not-in-family,White,Male,55,>50K
59,State-gov,HS-grad,Married-civ-spouse,Husband,White,Male,40,<=50K
40,State-gov,Some-college,Never-married,Not-in-family,White,Female,38,<=50K
41,Private,Bachelors,Married-civ-spouse,Husband,White,Male,50,>50K
38,Local-gov,Masters,Married-civ-spouse,Husband,White,Male,70,>50K
23,Private,HS-grad,Never-married,Own-child,White,Male,40,<=50K
40,Private,Bachelors,Married-civ-spouse,Husband,White,Male,40,>50K
41,Self-emp-not-inc,HS-grad,Married-civ-spouse,Wife,White,Female,20,<=50K
24,State-gov,Assoc-acdm,Married-civ-spouse,Husband,White,Male,50,<=50K
38,Private,Some-college,Divorced,Not-in-family,White,Male,40,<=50K
56,Private,HS-grad,Married-civ-spouse,Husband,White,Male,35,<=50K
58,Private,HS-grad,Married-civ-spouse,Husband,White,Male,45,>50K
32,Private,HS-grad,Never-married,Not-in-family,White,Female,34,<=50K
40,Private,Assoc-acdm,Married-civ-spouse,Husband,White,Male,60,>50K
45,Private,HS-grad,Married-civ-spouse,Husband,White,Male,40,<=50K
41,Private,Prof-school,Married-civ-spouse,Wife,White,Female,40,>50K
42,Private,Bachelors,Married-civ-spouse,Wife,Black,Female,40,<=50K
59,Local-gov,10th,Widowed,Unmarried,Black,Female,30,<=50K
19,Local-gov,Some-college,Never-married,Own-child,White,Male,40,<=50K
58,Private,Some-college,Never-married,Not-in-family,White,Male,20,<=50K
42,Self-emp-not-inc,HS-grad,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,40,>50K
20,Private,HS-grad,Never-married,Own-child,White,Female,40,<=50K
32,Private,HS-grad,Separated,Not-in-family,White,Female,30,<=50K
45,Private,Assoc-voc,Widowed,Not-in-family,White,Female,45,<=50K
50,Private,7th-8th,Divorced,Not-in-family,White,Male,40,<=50K
36,Private,Bachelors,Divorced,Own-child,White,Female,40,<=50K
45,Private,HS-grad,Married-civ-spouse,Husband,White,Male,60,<=50K
17,Private,11th,Never-married,Own-child,White,Male,12,<=50K
59,Private,Some-college,Married-civ-spouse,Husband,White,Male,40,<=50K
26,Private,11th,Married-civ-spouse,Husband,White,Male,40,<=50K
37,Self-emp-inc,Some-college,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,75,>50K
64,Private,HS-grad,Married-civ-spouse,Husband,White,Male,40,>50K
33,Private,Bachelors,Never-married,Not-in-family,White,Female,45,<=50K
33,Private,HS-grad,Married-civ-spouse,Wife,White,Female,40,>50K
61,Private,HS-grad,Married-civ-spouse,Husband,White,Male,40,>50K
17,Private,9th,Never-married,Own-child,White,Male,24,<=50K
50,Self-emp-not-inc,Masters,Married-civ-spouse,Husband,White,Male,98,<=50K
27,Local-gov,Masters,Never-married,Own-child,White,Male,35,<=50K
30,Private,HS-grad,Divorced,Own-child,White,Female,40,<=50K
43,Private,HS-grad,Married-civ-spouse,Husband,Black,Male,40,<=50K
44,Private,Some-college,Married-civ-spouse,Husband,White,Male,40,>50K
35,Private,Some-college,Never-married,Not-in-family,White,Female,40,<=50K
25,Private,Some-college,Never-married,Own-child,White,Female,40,<=50K
24,Private,Some-college,Married-civ-spouse,Wife,White,Female,48,>50K
22,Private,Bachelors,Never-married,Not-in-family,White,Female,15,<=50K
42,Local-gov,Some-college,Married-civ-spouse,Husband,White,Male,40,>50K
34,Private,Assoc-acdm,Divorced,Unmarried,Black,Female,45,<=50K
60,Private,Bachelors,Divorced,Not-in-family,White,Female,42,<=50K
21,Private,HS-grad,Never-married,Own-child,White,Male,40,<=50K
57,Federal-gov,Masters,Married-civ-spouse,Husband,White,Male,40,>50K
41,Private,Prof-school,Married-civ-spouse,Husband,White,Male,60,>50K
50,Private,Some-college,Divorced,Not-in-family,White,Male,45,<=50K
25,Private,Bachelors,Never-married,Not-in-family,White,Female,40,<=50K
50,Private,7th-8th,Married-civ-spouse,Husband,White,Male,40,<=50K
36,Private,Bachelors,Married-civ-spouse,Husband,White,Male,45,<=50K
31,Private,HS-grad,Divorced,Not-in-family,White,Female,40,<=50K
29,Local-gov,Bachelors,Never-married,Not-in-family,White,Male,56,<=50K
21,Private,Some-college,Never-married,Own-child,White,Male,45,<=50K
27,Private,Bachelors,Never-married,Unmarried,Black,Female,40,<=50K
65,Private,HS-grad,Married-civ-spouse,Husband,White,Male,16,<=50K
37,Self-emp-inc,Bachelors,Divorced,Not-in-family,White,Female,60,<=50K
24,Private,HS-grad,Never-married,Own-child,White,Male,40,<=50K
38,Private,HS-grad,Divorced,Not-in-family,White,Male,80,<=50K
48,Private,Bachelors,Married-civ-spouse,Husband,White,Male,40,>50K
21,Private,Some-college,Never-married,Not-in-family,Asian-Pac-Islander,Female,25,<=50K
31,Private,HS-grad,Married-civ-spouse,Husband,White,Male,45,>50K
55,Private,HS-grad,Married-civ-spouse,Husband,White,Male,40,>50K
24,Private,Some-college,Married-civ-spouse,Wife,Asian-Pac-Islander,Female,40,<=50K
43,Private,HS-grad,Divorced,Not-in-family,White,Female,40,<=50K
26,Private,Assoc-acdm,Never-married,Not-in-family,White,Male,45,<=50K
46,Private,Assoc-acdm,Never-married,Not-in-family,White,Female,33,<=50K
35,Private,Assoc-acdm,Married-civ-spouse,Husband,White,Male,40,>50K
41,Self-emp-inc,Some-college,Married-civ-spouse,Husband,White,Male,54,>50K
26,Private,Bachelors,Never-married,Not-in-family,White,Male,40,<=50K
34,Private,Masters,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,35,>50K
36,Self-emp-not-inc,Bachelors,Divorced,Not-in-family,Black,Female,40,>50K
22,Private,Some-college,Never-married,Own-child,White,Male,15,<=50K
24,Private,Some-college,Never-married,Not-in-family,White,Male,40,<=50K
77,Self-emp-not-inc,Some-college,Married-civ-spouse,Husband,White,Male,40,<=50K
22,Private,5th-6th,Married-civ-spouse,Other-relative,White,Female,40,<=50K
29,Private,Some-college,Never-married,Not-in-family,White,Female,40,<=50K
62,Private,HS-grad,Widowed,Not-in-family,White,Female,24,<=50K
39,Self-emp-not-inc,HS-grad,Married-civ-spouse,Husband,White,Male,40,<=50K
43,Private,Some-college,Married-civ-spouse,Husband,White,Male,50,<=50K
35,Private,HS-grad,Divorced,Not-in-family,White,Male,45,<=50K
29,Private,11th,Never-married,Not-in-family,White,Female,40,<=50K
76,Self-emp-not-inc,Masters,Married-civ-spouse,Husband,White,Male,10,<=50K
63,Self-emp-not-inc,HS-grad,Married-civ-spouse,Husband,White,Male,45,<=50K
43,Private,Some-college,Married-civ-spouse,Wife,White,Female,50,>50K
58,Self-emp-not-inc,HS-grad,Married-civ-spouse,Husband,White,Male,40,<=50K
66,Private,HS-grad,Never-married,Not-in-family,White,Male,55,<=50K
41,Private,Some-college,Never-married,Not-in-family,Black,Male,45,<=50K
26,Private,Bachelors,Never-married,Not-in-family,White,Male,40,<=50K
47,Private,Assoc-voc,Never-married,Not-in-family,White,Male,40,<=50K
55,Local-gov,10th,Married-civ-spouse,Husband,White,Male,40,<=50K
53,Private,HS-grad,Married-civ-spouse,Husband,White,Male,40,<=50K
17,Private,5th-6th,Never-married,Other-relative,White,Male,48,<=50K
30,Private,HS-grad,Never-married,Other-relative,White,Male,40,<=50K
49,Private,Masters,Never-married,Not-in-family,White,Male,60,<=50K
19,Private,HS-grad,Never-married,Unmarried,Black,Male,30,<=50K
45,Private,HS-grad,Married-civ-spouse,Husband,Black,Male,40,<=50K
26,Private,Assoc-acdm,Never-married,Not-in-family,White,Male,40,<=50K
38,Private,Assoc-voc,Married-civ-spouse,Husband,White,Male,40,>50K
36,State-gov,HS-grad,Married-civ-spouse,Husband,White,Male,40,>50K
33,Private,HS-grad,Never-married,Not-in-family,White,Male,20,<=50K
22,State-gov,Some-college,Never-married,Own-child,Black,Female,40,<=50K
43,Self-emp-not-inc,Bachelors,Never-married,Not-in-family,White,Male,42,<=50K
56,Private,Assoc-acdm,Married-spouse-absent,Not-in-family,White,Male,25,<=50K
31,Private,Bachelors,Never-married,Own-child,White,Male,25,<=50K
33,Private,Bachelors,Married-civ-spouse,Husband,White,Male,40,>50K
26,Private,HS-grad,Married-civ-spouse,Husband,White,Male,40,<=50K
33,Private,Bachelors,Married-civ-spouse,Husband,White,Male,40,>50K
46,Local-gov,11th,Married-civ-spouse,Husband,White,Male,30,<=50K
38,Federal-gov,HS-grad,Married-civ-spouse,Husband,White,Male,40,>50K
65,Private,11th,Widowed,Unmarried,Other,Male,40,<=50K
40,Private,Assoc-voc,Married-civ-spouse,Husband,White,Male,40,>50K
42,Private,HS-grad,Married-civ-spouse,Wife,White,Female,35,<=50K
26,Self-emp-not-inc,9th,Married-civ-spouse,Husband,White,Male,40,<=50K
36,Private,10th,Married-civ-spouse,Wife,White,Female,24,<=50K
62,Private,Masters,Married-civ-spouse,Husband,White,Male,40,>50K
43,Private,Bachelors,Married-civ-spouse,Husband,White,Male,45,<=50K
43,Private,Bachelors,Divorced,Not-in-family,White,Male,45,>50K
22,Private,HS-grad,Married-spouse-absent,Not-in-family,White,Male,55,<=50K
28,Private,HS-grad,Married-civ-spouse,Husband,White,Male,40,<=50K
56,Self-emp-not-inc,Some-college,Married-civ-spouse,Husband,White,Male,45,<=50K
22,Private,Assoc-acdm,Never-married,Not-in-family,White,Female,15,<=50K
57,Private,Bachelors,Divorced,Not-in-family,White,Female,45,>50K
39,Private,HS-grad,Divorced,Unmarried,White,Female,40,<=50K
26,Federal-gov,Some-college,Never-married,Unmarried,White,Female,15,<=50K
17,Private,11th,Never-married,Own-child,White,Male,10,<=50K
40,State-gov,Assoc-voc,Married-civ-spouse,Husband,White,Male,38,>50K
45,Private,HS-grad,Married-civ-spouse,Husband,Black,Male,40,<=50K
44,Private,HS-grad,Never-married,Not-in-family,Black,Male,40,<=50K
20,Local-gov,Some-college,Never-married,Own-child,White,Female,10,<=50K
33,Private,HS-grad,Married-civ-spouse,Wife,White,Female,40,<=50K
23,Private,Some-college,Never-married,Not-in-family,White,Male,40,<=50K
46,Self-emp-not-inc,Masters,Divorced,Not-in-family,White,Male,30,<=50K
38,Private,HS-grad,Married-civ-spouse,Husband,White,Male,50,<=50K
54,Private,HS-grad,Divorced,Not-in-family,White,Male,40,<=50K
46,Private,5th-6th,Divorced,Not-in-family,White,Female,45,<=50K
25,Private,Some-college,Married-civ-spouse,Husband,White,Male,40,<=50K
46,Private,Some-college,Divorced,Not-in-family,White,Female,40,<=50K
36,Local-gov,Some-college,Married-civ-spouse,Wife,White,Female,40,<=50K
23,Private,HS-grad,Never-married,Not-in-family,White,Female,25,<=50K
29,Private,HS-grad,Separated,Not-in-family,White,Male,40,<=50K
44,Private,Some-college,Married-civ-spouse,Wife,White,Female,6,>50K
19,Private,Some-college,Never-married,Own-child,White,Female,16,<=50K
19,Private,HS-grad,Never-married,Other-relative,White,Female,40,<=50K
35,Private,HS-grad,Married-civ-spouse,Wife,White,Female,40,>50K
27,Private,Bachelors,Never-married,Not-in-family,White,Male,50,<=50K
46,Self-emp-not-inc,Assoc-acdm,Separated,Not-in-family,White,Male,40,<=50K
34,State-gov,Bachelors,Married-civ-spouse,Husband,White,Male,45,>50K
34,Private,HS-grad,Never-married,Not-in-family,White,Female,35,<=50K
44,Private,Some-college,Married-civ-spouse,Husband,White,Male,40,<=50K
45,Private,Some-college,Divorced,Unmarried,White,Female,40,<=50K
25,Private,Bachelors,Married-civ-spouse,Husband,White,Male,55,>50K
